Transaction_ID,Date,Amount,Description
TXN00001,2026-05-01,3137,Vendor Payment
TXN00002,2026-05-02,1074,Electricity Bill
TXN00003,2026-05-03,3411,Rent
TXN00004,2026-05-04,102148,Office Supplies
TXN00005,2026-05-05,1385,Internet Bill
TXN00006,2026-05-06,5822,Salary Payment
TXN00007,2026-05-07,1459,Water Bill
TXN00008,2026-05-08,221096,Travel Expense
TXN00009,2026-05-09,4233,Vendor Payment
TXN00010,2026-05-10,2170,Electricity Bill
TXN00011,2026-05-11,421507,Rent
TXN00012,2026-05-12,2144,Office Supplies
TXN00013,2026-05-13,2481,Internet Bill
TXN00014,2026-05-14,621918,Salary Payment
TXN00015,2026-05-15,255215,Water Bill
TXN00016,2026-05-16,3192,Travel Expense
TXN00017,2026-05-17,5329,Vendor Payment
TXN00018,2026-05-18,3266,Electricity Bill
TXN00019,2026-05-19,521603,Rent
TXN00020,2026-05-20,3240,Office Supplies
TXN00021,2026-05-21,1776,Internet Bill
TXN00022,2026-05-22,8014,Salary Payment
TXN00023,2026-05-23,1150,Water Bill
TXN00024,2026-05-24,4288,Travel Expense
TXN00025,2026-05-25,6425,Vendor Payment
TXN00026,2026-05-26,1161,Electricity Bill
TXN00027,2026-05-27,6699,Rent
TXN00028,2026-05-28,4336,Office Supplies
TXN00029,2026-05-29,1071,Internet Bill
TXN00030,2026-05-30,9110,Salary Payment
TXN00031,2026-05-31,2246,Water Bill
TXN00032,2026-06-01,5384,Travel Expense
TXN00033,2026-06-02,7521,Vendor Payment
TXN00034,2026-06-03,2257,Electricity Bill
TXN00035,2026-06-04,7795,Rent
TXN00036,2026-06-05,931,Office Supplies
TXN00037,2026-06-06,2167,Internet Bill
TXN00038,2026-06-07,10206,Salary Payment
TXN00039,2026-06-08,841,Water Bill
TXN00040,2026-06-09,6480,Travel Expense
TXN00041,2026-06-10,8617,Vendor Payment
TXN00042,2026-06-11,3353,Electricity Bill
TXN00043,2026-06-12,8891,Rent
TXN00044,2026-06-13,2027,Office Supplies
TXN00045,2026-06-14,1462,Internet Bill
TXN00046,2026-06-15,11302,Salary Payment
TXN00048,2026-06-17,7576,Travel Expense
TXN00042,2026-06-11,3353,Electricity Bill
TXN00049,2026-06-18,9713,Vendor Payment
TXN00050,2026-06-19,1248,Electricity Bill
TXN00051,2026-06-20,9987,Rent
TXN00052,2026-06-21,3123,Office Supplies
TXN00053,2026-06-22,757,Internet Bill
TXN00054,2026-06-23,12398,Salary Payment
TXN00055,2026-06-24,532,Water Bill
TXN00056,2026-06-25,8672,Travel Expense
TXN00057,2026-06-26,10809,Vendor Payment
TXN00058,2026-06-27,2344,Electricity Bill
TXN00059,2026-06-28,11083,Rent
TXN00061,2026-06-30,1853,Internet Bill
TXN00062,2026-07-01,13494,Salary Payment
TXN00063,2026-07-02,1628,Water Bill
TXN00064,2026-07-03,9768,Travel Expense
TXN00065,2026-07-04,11905,Vendor Payment
TXN00067,2026-07-06,3178,Rent
TXN00068,2026-07-07,814,Office Supplies
TXN00069,2026-07-08,1148,Internet Bill
TXN00070,2026-07-09,14590,Salary Payment
TXN00071,2026-07-10,2724,Water Bill
TXN00075,2026-07-14,4274,Rent
TXN00076,2026-07-15,1910,Office Supplies
TXN00077,2026-07-16,2244,Internet Bill
TXN00078,2026-07-17,15686,Salary Payment
TXN00079,2026-07-18,1319,Water Bill
TXN00080,2026-07-19,2959,Travel Expense
TXN00081,2026-07-20,14097,Vendor Payment
TXN00082,2026-07-21,2431,Electricity Bill
TXN00083,2026-07-22,5370,Rent
TXN00084,2026-07-23,3006,Office Supplies
TXN00085,2026-07-24,1539,Internet Bill
TXN00086,2026-07-25,16782,Salary Payment
TXN00087,2026-07-26,2415,Water Bill
TXN00088,2026-07-27,4055,Travel Expense
TXN00089,2026-07-28,3192,Vendor Payment
TXN00090,2026-07-29,3527,Electricity Bill
TXN00091,2026-07-30,6466,Rent
TXN00092,2026-07-31,4102,Office Supplies
TXN00093,2026-08-01,834,Internet Bill
TXN00094,2026-08-02,17878,Salary Payment
TXN00095,2026-08-03,1010,Water Bill
TXN00096,2026-08-04,5151,Travel Expense
TXN00097,2026-08-05,4288,Vendor Payment
TXN00098,2026-08-06,1422,Electricity Bill
TXN00099,2026-08-07,7562,Rent
TXN00100,2026-08-08,697,Office Supplies
TXN00101,2026-08-09,1930,Internet Bill
TXN00102,2026-08-10,18974,Salary Payment
TXN00103,2026-08-11,2106,Water Bill
TXN00104,2026-08-12,6247,Travel Expense
TXN00105,2026-08-13,5384,Vendor Payment
TXN00081,2026-07-20,14097,Vendor Payment
TXN00082,2026-07-21,2431,Electricity Bill
TXN00106,2026-08-14,2518,Electricity Bill
TXN00107,2026-08-15,8658,Rent
TXN00108,2026-08-16,1793,Office Supplies
TXN00110,2026-08-18,20070,Salary Payment
TXN00111,2026-08-19,701,Water Bill
TXN00112,2026-08-20,7343,Travel Expense
TXN00113,2026-08-21,6480,Vendor Payment
TXN00114,2026-08-22,3614,Electricity Bill
TXN00115,2026-08-23,9754,Rent
TXN00116,2026-08-24,2889,Office Supplies
TXN00117,2026-08-25,2321,Internet Bill
TXN00118,2026-08-26,21166,Salary Payment
TXN00119,2026-08-27,1797,Water Bill
TXN00120,2026-08-28,8439,Travel Expense
TXN00121,2026-08-29,7576,Vendor Payment
TXN00122,2026-08-30,1509,Electricity Bill
TXN00123,2026-08-31,10850,Rent
TXN00124,2026-09-01,3985,Office Supplies
TXN00125,2026-09-02,1616,Internet Bill
TXN00126,2026-09-03,22262,Salary Payment
TXN00127,2026-09-04,2893,Water Bill
TXN00128,2026-09-05,9535,Travel Expense
TXN00129,2026-09-06,8672,Vendor Payment
TXN00130,2026-09-07,2605,Electricity Bill
TXN00131,2026-09-08,11946,Rent
TXN00132,2026-09-09,580,Office Supplies
TXN00133,2026-09-10,911,Internet Bill
TXN00134,2026-09-11,23358,Salary Payment
TXN00135,2026-09-12,1488,Water Bill
TXN00136,2026-09-13,1630,Travel Expense
TXN00137,2026-09-14,9768,Vendor Payment
TXN00138,2026-09-15,3701,Electricity Bill
TXN00139,2026-09-16,4041,Rent
TXN00140,2026-09-17,1676,Office Supplies
TXN00141,2026-09-18,2007,Internet Bill
TXN00143,2026-09-20,2584,Water Bill
TXN00144,2026-09-21,2726,Travel Expense
TXN00145,2026-09-22,10864,Vendor Payment
TXN00146,2026-09-23,1596,Electricity Bill
TXN00147,2026-09-24,5137,Rent
TXN00148,2026-09-25,2772,Office Supplies
TXN00149,2026-09-26,1302,Internet Bill
TXN00150,2026-09-27,5549,Salary Payment
TXN00151,2026-09-28,1179,Water Bill
TXN00152,2026-09-29,3822,Travel Expense
TXN00153,2026-09-30,11960,Vendor Payment
TXN00154,2026-10-01,2692,Electricity Bill
TXN00155,2026-10-02,6233,Rent
TXN00156,2026-10-03,3868,Office Supplies
TXN00157,2026-10-04,2398,Internet Bill
TXN00158,2026-10-05,6645,Salary Payment
TXN00159,2026-10-06,2275,Water Bill
TXN00160,2026-10-07,4918,Travel Expense
TXN00161,2026-10-08,13056,Vendor Payment
TXN00162,2026-10-09,3788,Electricity Bill
TXN00163,2026-10-10,7329,Rent
TXN00164,2026-10-11,4964,Office Supplies
TXN00165,2026-10-12,1693,Internet Bill
TXN00166,2026-10-13,7741,Salary Payment
TXN00167,2026-10-14,870,Water Bill
TXN00168,2026-10-15,6014,Travel Expense
TXN00169,2026-10-16,14152,Vendor Payment
TXN00170,2026-10-17,1683,Electricity Bill
TXN00171,2026-10-18,8425,Rent
TXN00172,2026-10-19,1559,Office Supplies
TXN00173,2026-10-20,988,Internet Bill
TXN00174,2026-10-21,8837,Salary Payment
TXN00175,2026-10-22,1966,Water Bill
TXN00176,2026-10-23,7110,Travel Expense
TXN00177,2026-10-24,3247,Vendor Payment
TXN00178,2026-10-25,2779,Electricity Bill
TXN00179,2026-10-26,9521,Rent
TXN00180,2026-10-27,2655,Office Supplies
TXN00181,2026-10-28,2084,Internet Bill
TXN00182,2026-10-29,9933,Salary Payment
TXN00183,2026-10-30,561,Water Bill
TXN00184,2026-10-31,8206,Travel Expense
TXN00185,2026-11-01,4343,Vendor Payment
TXN00186,2026-11-02,3875,Electricity Bill
TXN00187,2026-11-03,10617,Rent
TXN00188,2026-11-04,3751,Office Supplies
TXN00189,2026-11-05,1379,Internet Bill
TXN00190,2026-11-06,11029,Salary Payment
TXN00191,2026-11-07,1657,Water Bill
TXN00192,2026-11-08,9302,Travel Expense
TXN00193,2026-11-09,5439,Vendor Payment
TXN00194,2026-11-10,1770,Electricity Bill
TXN00195,2026-11-11,11713,Rent
TXN00196,2026-11-12,4847,Office Supplies
TXN00197,2026-11-13,2475,Internet Bill
TXN00198,2026-11-14,12125,Salary Payment
TXN00199,2026-11-15,2753,Water Bill
TXN00200,2026-11-16,1397,Travel Expense
TXN00201,2026-11-17,6535,Vendor Payment
TXN00202,2026-11-18,2866,Electricity Bill
TXN00203,2026-11-19,3808,Rent
TXN00204,2026-11-20,1442,Office Supplies
TXN00205,2026-11-21,1770,Internet Bill
TXN00206,2026-11-22,13221,Salary Payment
TXN00207,2026-11-23,1348,Water Bill
TXN00208,2026-11-24,2493,Travel Expense
TXN00209,2026-11-25,7631,Vendor Payment
TXN00210,2026-11-26,3962,Electricity Bill
TXN00211,2026-11-27,4904,Rent
TXN00212,2026-11-28,2538,Office Supplies
TXN00213,2026-11-29,1065,Internet Bill
TXN00214,2026-11-30,14317,Salary Payment
TXN00215,2026-12-01,2444,Water Bill
TXN00216,2026-12-02,3589,Travel Expense
TXN00217,2026-12-03,8727,Vendor Payment
TXN00218,2026-12-04,1857,Electricity Bill
TXN00219,2026-12-05,6000,Rent
TXN00220,2026-12-06,3634,Office Supplies
TXN00221,2026-12-07,2161,Internet Bill
TXN00222,2026-12-08,15413,Salary Payment
TXN00223,2026-12-09,1039,Water Bill
TXN00224,2026-12-10,4685,Travel Expense
TXN00225,2026-12-11,9823,Vendor Payment
TXN00226,2026-12-12,2953,Electricity Bill
TXN00227,2026-12-13,7096,Rent
TXN00228,2026-12-14,4730,Office Supplies
TXN00229,2026-12-15,1456,Internet Bill
TXN00230,2026-12-16,16509,Salary Payment
TXN00231,2026-12-17,2135,Water Bill
TXN00232,2026-12-18,5781,Travel Expense
TXN00233,2026-12-19,10919,Vendor Payment
TXN00234,2026-12-20,848,Electricity Bill
TXN00235,2026-12-21,8192,Rent
TXN00236,2026-12-22,1325,Office Supplies
TXN00237,2026-12-23,751,Internet Bill
TXN00238,2026-12-24,17605,Salary Payment
TXN00239,2026-12-25,730,Water Bill
